"FurnisherName","Address","City","State","Zip","PhoneNumber","vextension","AccountCardType","vnote"
"700 CREDIT/MOIX RV SUP",null,null,null,null,null,null,null,null
"700 CREDIT/MOUNTAIN MO",null,null,null,null,null,null,null,null
"700 CREDIT/MT HOLLY NI",null,null,null,null,null,null,null,null
"700 CREDIT/NATIONAL TR",null,null,null,null,null,null,null,null
"700 CREDIT/NELSON MAZD",null,null,null,null,null,null,null,null
"700 CREDIT/NISSAN OF B",null,null,null,null,null,null,null,null
"700 CREDIT/NISSAN OF O",null,null,null,null,null,null,null,null
"700 CREDIT/NISSAN OF S",null,null,null,null,null,null,null,null
"700 CREDIT/NOVATO CHEV",null,null,null,null,null,null,null,null
"700 CREDIT/OFF LEASE O",null,null,null,null,null,null,null,null
"700 CREDIT/PALMERS AIR",null,null,null,null,null,null,null,null
"700 CREDIT/PARKS BUICK",null,null,null,null,null,null,null,null
"700 CREDIT/PHIL LONG F",null,null,null,null,null,null,null,null
"700 CREDIT/POWER MOTOR",null,null,null,null,null,null,null,null
"700 CREDIT/PREMIER NIS",null,null,null,null,null,null,null,null
"700 CREDIT/PRESTIGE CH",null,null,null,null,null,null,null,null
"700 CREDIT/PUEBLO DODG",null,null,null,null,null,null,null,null
"700 CREDIT/RAWHIDE HAR",null,null,null,null,null,null,null,null
"700 CREDIT/RIDENOW POW",null,null,null,null,null,null,null,null
"700 CREDIT/RIGHT HONDA",null,null,null,null,null,null,null,null
"700 CREDIT/RON HOOVER",null,null,null,null,null,null,null,null
"700 CREDIT/RUDOLPH HON",null,null,null,null,null,null,null,null
"700 CREDIT/RV VALUE MA",null,null,null,null,null,null,null,null
"700 CREDIT/SAKELARIS C",null,null,null,null,null,null,null,null
"700 CREDIT/SCOTT CLARK",null,null,null,null,null,null,null,null
"700 CREDIT/SHARP AUTOM",null,null,null,null,null,null,null,null
"700 CREDIT/SHULTS FORD",null,null,null,null,null,null,null,null
"700 CREDIT/SID DILLON",null,null,null,null,null,null,null,null
"700 CREDIT/SOUTH BAY L",null,null,null,null,null,null,null,null
"700 CREDIT/SOUTH TOYOT",null,null,null,null,null,null,null,null
"700 CREDIT/SOUTHERN PI",null,null,null,null,null,null,null,null
"700 CREDIT/SPARTANBURG",null,null,null,null,null,null,null,null
"700 CREDIT/SPORT MAZDA",null,null,null,null,null,null,null,null
"700 CREDIT/SUNSET KIA",null,null,null,null,null,null,null,null
"700 CREDIT/SWANSON-FAH",null,null,null,null,null,null,null,null
"700 CREDIT/TEAM KIA MA",null,null,null,null,null,null,null,null
"700 CREDIT/TEMECULA MO",null,null,null,null,null,null,null,null
"700 CREDIT/TETON TOYOT",null,null,null,null,null,null,null,null
"700 CREDIT/TEXAS MARIN",null,null,null,null,null,null,null,null
"700 CREDIT/TIM DAHLE F",null,null,null,null,null,null,null,null
"700 CREDIT/TIPTON FORD",null,null,null,null,null,null,null,null
"700 CREDIT/TOM WOOD FO",null,null,null,null,null,null,null,null
"700 CREDIT/TOYOTA OF D",null,null,null,null,null,null,null,null
"700 CREDIT/TOYOTA OF O",null,null,null,null,null,null,null,null
"700 CREDIT/TOYOTA OF R",null,null,null,null,null,null,null,null
"700 CREDIT/TRAVELCAMP",null,null,null,null,null,null,null,null
"700 CREDIT/TRAVELCAMP-",null,null,null,null,null,null,null,null
"700 CREDIT/TROPICAL CH",null,null,null,null,null,null,null,null
"700 CREDIT/TURNERSVILL",null,null,null,null,null,null,null,null
